Date,Open,High,Low,Close,Volume,Symbol,Interval,Source,Fetch_Time,ichimoku_tenkan_sen,ichimoku_kijun_sen,ichimoku_senkou_span_a,ichimoku_senkou_span_b,ichimoku_chikou_span,ichimoku_cloud_thickness,ichimoku_price_above_cloud,ichimoku_price_below_cloud,ichimoku_price_in_cloud,ichimoku_bullish_tk_cross,ichimoku_bearish_tk_cross,vp_point_of_control,vp_value_area_high,vp_value_area_low,vp_volume_at_price,vp_price_position,vp_above_poc,vp_in_value_area,obv,obv_smoothed,obv_momentum,obv_bullish_divergence,obv_bearish_divergence,obv_trend,obv_normalized,bb_upper,bb_middle,bb_lower,bb_width,bb_percent,bb_squeeze,bb_upper_touch,bb_lower_touch,bb_upper_breakout,bb_lower_breakout,macd_line,macd_signal,macd_histogram,macd_bullish_cross,macd_bearish_cross,macd_bullish_divergence,macd_bearish_divergence,macd_momentum,macd_normalized,stoch_k,stoch_d,stoch_overbought,stoch_oversold,stoch_bullish_cross,stoch_bearish_cross,stoch_momentum,rsi,rsi_overbought,rsi_oversold,rsi_bullish_divergence,rsi_bearish_divergence,rsi_momentum,rsi_smoothed,atr,atr_normalized,atr_upper,atr_lower,keltner_upper,keltner_middle,keltner_lower,vol_breakout_up,vol_breakout_down,price_volatility,roc_5,roc_10,roc_20,momentum_5,momentum_10,williams_r,cci,price_acceleration
2020-01-01 00:00:00+00:00,7194.89208984375,7254.33056640625,7174.9443359375,7200.17431640625,18565664997,BTC-USD,1d,yfinance,2025-07-14 16:53:22.692224,,,,,8909.8193359375,,0,0,0,0,0,,,,,,0,0,18565664997.0,,,0,0,0,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,,,,0,0,0,0,,,0,0,0,0,,,,,,,,,,0,0,,,,,,,,,
2020-01-02 00:00:00+00:00,7202.55126953125,7212.1552734375,6935.27001953125,6985.47021484375,20802083465,BTC-USD,1d,yfinance,2025-07-14 16:53:22.692224,,,,,9358.58984375,,0,0,0,0,0,,,,,,0,0,-2236418468.0,,,0,0,-1,,,,,,,0,0,0,0,0,-4.817079201721754,-2.676155112067641,-2.1409240896541126,0,1,0,0,-inf,,,,0,0,0,0,,,0,0,0,0,,,,,,,,,,0,0,,,,,,,,,
2020-01-03 00:00:00+00:00,6984.4287109375,7413.71533203125,6914.99609375,7344.88427734375,28111481032,BTC-USD,1d,yfinance,2025-07-14 16:53:22.692224,,,,,9316.6298828125,,0,0,0,0,0,,,,,,0,0,25875062564.0,,,0,0,1,,,,,,,0,0,0,0,0,5.007493542146221,0.4728812216265646,4.534612320519657,1,0,0,0,-3.118063102953019,,,,0,0,0,0,,,0,0,0,0,,,,,,,,,,0,0,,,,,,,,,-2.7254488525271086
2020-01-04 00:00:00+00:00,7345.37548828125,7427.3857421875,7309.51416015625,7410.65673828125,18444271275,BTC-USD,1d,yfinance,2025-07-14 16:53:22.692224,,,,,9508.9931640625,,0,0,0,0,0,,,,,,0,0,44319333839.0,,,0,0,1,,,,,,,0,0,0,0,0,11.727870520895522,4.285546973411441,7.44232354748408,0,0,0,0,0.6412259795190618,,,,0,0,0,0,,,0,0,0,0,,,,,,,,,,0,0,,,,,,,,,-0.8259557363486534
2020-01-05 00:00:00+00:00,7410.45166015625,7544.4970703125,7400.53564453125,7411.3173828125,19725074095,BTC-USD,1d,yfinance,2025-07-14 16:53:22.692224,,,,,9350.529296875,,0,0,0,0,0,,,,,,0,0,64044407934.0,,,0,0,1,,,,,,,0,0,0,0,0,15.159010220967502,7.520156459238446,7.638853761729057,0,0,0,0,0.026407104312391017,,,,0,0,0,0,,,0,0,0,0,,,,,,,,,,0,0,,,,,,,,,-0.9900447536135469
2020-01-06 00:00:00+00:00,7410.4521484375,7781.8671875,7409.29296875,7769.21923828125,23276261598,BTC-USD,1d,yfinance,2025-07-14 16:53:22.692224,,,,,9392.875,,0,0,0,0,0,,,,,,0,0,87320669532.0,,3.7033418703886998,0,0,1,,,,,,,0,0,0,0,0,32.240744400473886,14.220810229414587,18.019934171059298,0,0,0,0,1.3589840482795785,,,,0,0,0,0,,,0,0,0,0,,,,,,,,,,0,0,,7.903210351149137,,,1.0790321035114914,,,,540.698198023285
2020-01-07 00:00:00+00:00,7768.68212890625,8178.2158203125,7768.2275390625,8163.6923828125,28767291327,BTC-USD,1d,yfinance,2025-07-14 16:53:22.692224,,,,,9344.365234375,,0,0,0,0,0,,,,,,0,0,116087960859.0,,-52.90797809983029,0,1,1,,,,,,,0,0,0,0,0,60.5103895242346,25.93546785532869,34.57492166890591,0,0,0,0,0.9187041051700706,,,,0,0,0,0,,,0,0,0,0,,,,,,,,,,0,0,,16.866755303960645,,,1.1686675530396065,,,,0.051408605271720864
2020-01-08 00:00:00+00:00,8161.935546875,8396.73828125,7956.7744140625,8079.86279296875,31672559265,BTC-USD,1d,yfinance,2025-07-14 16:53:22.692224,,,,,9293.521484375,,0,0,0,0,0,,,,,,0,0,84415401594.0,,2.2624230911598735,0,0,-1,,,,,,,0,0,0,0,0,74.50620853842611,37.607930214457994,36.898278323968114,0,0,0,0,0.06719774168430459,,,,0,0,0,0,,,0,0,0,0,,,,,,,,,,0,0,,10.006672506633452,,,1.1000667250663345,,,,-1.2022416707824988
2020-01-09 00:00:00+00:00,8082.2958984375,8082.2958984375,7842.40380859375,7879.0712890625,24045990466,BTC-USD,1d,yfinance,2025-07-14 16:53:22.692224,7655.8671875,,,,9180.962890625,,0,0,0,0,0,,,,,,0,0,60369411128.0,,0.36214617636865976,0,0,-1,,,,,,,0,0,0,0,0,73.1024088858594,45.80733087656843,27.295078009290975,0,0,0,0,-0.2602614742715289,,,,0,0,0,0,,,0,0,0,0,,,,,,,,,,0,0,,6.320823745101567,,,1.0632082374510157,,,,1.4200850954948696
2020-01-10 00:00:00+00:00,7878.3076171875,8166.55419921875,7726.77490234375,8166.55419921875,28714583844,BTC-USD,1d,yfinance,2025-07-14 16:53:22.692224,7655.8671875,,,,9613.423828125,,0,0,0,0,0,,,,,,0,0,89083994972.0,58784548895.1,0.3909722619936493,0,0,1,,,,,,,0,0,0,0,0,85.85109012879911,54.77945748610258,31.071632642696535,0,0,0,0,0.13836027990541222,,,,0,0,0,0,,,0,0,0,0,,,,,,,,,,0,0,,10.190318095912488,,,1.1019031809591249,,,,-2.468235281647419
